Gene,SYMBOL,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12
g10127,g10127,-0.759417647,0.651162685,-0.711183867,1.553065385,0.054058306,-0.484301098,0.05762917,-0.19292479,-0.506469917,-0.632708961,-2.750286568,1.273143531
g10128,g10128,3.647996205,4.194766107,2.598116131,4.234302659,4.381084932,4.054470108,3.015903223,2.840797758,2.649020178,1.467520887,2.68422206,1.985731964
g10129,g10129,4.261581062,3.317159688,4.069430983,3.468689786,2.713299417,5.714057789,3.114118464,2.308351567,5.184611849,3.935553892,5.631473377,3.085008598
g1013,g1013,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568
g10130,g10130,6.328551293,4.155771878,4.404152822,4.32397259,3.946613682,5.370959739,5.475099625,4.641746139,4.78864505,3.526416737,4.822766155,4.648550892
g10131,g10131,3.01400831,4.248306512,1.161081714,-0.352826737,1.990940342,3.796373771,3.396093737,0.174674383,3.525028146,2.459536792,4.180104295,2.048040493
g10132,g10132,3.565603836,2.932741946,3.10434356,3.241707441,3.731083479,3.793305798,4.091553334,3.584820794,3.905707771,2.939483368,4.316795849,3.242504528
g10133,g10133,7.648888119,7.368267547,7.461378755,8.944095607,8.348219738,8.188833191,7.43295445,8.74614355,8.13645184,8.156595958,8.374632987,7.298672419
g10134,g10134,-0.932644561,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568
g10135,PNLIPRP2,2.636102936,3.264468751,2.832098416,1.857619922,2.383975287,1.925400118,4.431277524,2.077913895,2.704366838,2.894395924,3.184504804,2.846648701
g10136,BIRC2,7.662210881,7.389616753,6.705838801,7.428821084,6.233536764,6.392978176,6.859172496,7.400634439,6.24788485,6.436024971,6.466317722,7.109639861
g10137,BIRC2,8.579620762,8.178085775,8.565447775,8.229385253,8.239506462,8.470971063,7.541210953,8.561968641,8.604048282,8.627801738,8.021569302,7.918878575
g10138,g10138,4.577710716,4.544273627,4.376785936,3.840823644,4.379782803,4.129866805,4.380739132,4.169474262,4.225636722,4.060610814,4.419900377,4.470255074
g10139,BIRC2,5.489817,5.266167033,5.025103004,5.736469093,4.787352088,5.054289229,4.643276382,5.176873897,4.934366923,5.341894542,4.452324749,4.757321027
g1014,g1014,-0.502462162,-2.750286568,-1.49377548,-0.544963902,2.189602455,0.917049312,-1.62916747,-2.750286568,0.060164874,-0.557107128,1.671016439,2.067360428
g10140,BIRC3,3.799349934,3.170490573,3.852270491,4.078678435,4.184488563,4.799297505,3.275861944,3.851949979,4.443786384,2.945979837,3.744840233,4.082629467
g10141,g10141,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-1.757551718,-2.106335564,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568
g10142,MSANTD3,0.147501459,-0.806146939,-0.507944875,-0.394481832,-0.318948216,0.39600726,-0.948598833,-2.750286568,-1.815706389,-1.202648303,-1.677006353,-1.924406469
g10143,g10143,-0.401662316,-0.30596713,0.514543456,0.828230396,-0.597074942,-0.696225456,-0.785691463,-0.560618944,-0.826287045,-0.888596752,0.113363507,-0.215536178
g10144,TNC,-2.750286568,-2.750286568,0.243828044,-2.750286568,0.155991434,-1.058067502,-1.005447401,-2.299024096,-1.741194003,-1.633779671,-0.341146427,-1.956339663
g10145,g10145,3.526058144,3.04596406,4.340315727,4.212858191,4.461969931,4.266721447,4.089695281,3.864868193,3.669127732,3.050440591,3.16348133,3.612662485
g10146,g10146,3.560191191,1.700633556,3.675721392,4.162333598,2.784389922,3.038168637,3.414195769,3.704986491,1.330209106,2.335900676,3.679990496,2.898059827
g10147,g10147,6.995993716,7.013804142,7.324341916,6.408554613,7.212117451,7.593951458,7.993979257,6.81126547,7.14264202,6.886389574,7.015866012,7.615336425
g10148,g10148,6.902813297,5.291279174,5.794609156,6.111914648,5.641076567,6.523611995,6.857172068,6.167149062,5.324220912,4.947857034,7.194471202,6.863514377
g10149,g10149,-2.750286568,-2.750286568,-2.750286568,-1.585747571,0.182717431,-2.750286568,-2.750286568,-2.295770829,-2.750286568,-2.750286568,-0.49444655,-1.7302392
g1015,g1015,1.53970663,-2.750286568,-0.204255969,2.363595187,0.040823616,1.002554057,1.181570108,-1.268161963,0.54339088,0.419263476,-1.070602449,-0.209419381
g10150,g10150,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.161197524,-2.750286568
g10151,g10151,-1.309887457,-0.661512904,0.375079289,1.571332665,2.155694355,2.380137285,-0.777835081,-0.140781763,0.339955855,-2.750286568,0.2313129,-0.470909523
g10152,g10152,3.056551789,0.550275109,1.869528055,2.013516386,2.553657692,1.711731932,-0.116256978,2.331694265,0.779195511,0.479482962,2.237809496,2.170522162
g10153,g10153,5.50234101,5.75886758,5.703166905,5.374851003,6.441751118,5.628906575,6.030620809,6.248943782,6.112414685,5.867497965,5.328644871,3.788114797
g10154,MS4A4A,2.480445478,2.884937443,2.909580917,3.362634757,4.166802681,3.195214551,1.857915346,2.675866168,3.58030798,3.101768849,2.552257287,2.516706662
g10155,g10155,-0.123466491,-2.750286568,0.25776804,-0.729180433,0.741887366,-0.845108875,0.799562257,1.707692439,1.224408817,-1.35801318,-0.331694888,-0.375709523
g10156,MS4A4A,-2.750286568,-2.750286568,-1.431875944,-2.750286568,-1.24744646,-2.750286568,-1.23032975,-2.316852632,-0.236462622,-2.750286568,-0.605872116,-2.750286568
g10157,g10157,-0.026284338,-2.750286568,1.280927836,2.482760993,1.531831144,-0.429806385,0.117056245,2.045390914,1.395126304,-0.597076372,1.026107069,0.540981161
g10158,g10158,1.419416148,-2.750286568,1.723572216,2.860752277,1.456306677,2.312147037,-0.316582376,3.100046979,2.158693581,0.709850919,1.631818974,1.415572233
g10159,MS4A4A,1.796282204,2.112212375,-2.750286568,-2.750286568,-0.885533153,-2.750286568,0.923185371,-1.716051505,-2.750286568,-2.750286568,-2.750286568,-2.750286568
g1016,SLC35B4,4.34558502,4.595111484,4.225260355,4.349842263,4.576141209,4.572978585,4.35047785,4.547497891,4.87351341,4.01572275,4.66432217,4.030690264
g10160,g10160,0.636096281,-1.74752085,-2.750286568,-0.217926829,-1.520448809,-2.750286568,-0.133768754,-0.453482112,-2.750286568,-0.465811661,-2.750286568,-2.750286568
g10161,g10161,2.328614293,1.582315176,-0.168006733,2.660595706,2.516837225,0.963108695,0.388903149,1.478540045,1.015452366,-2.750286568,-0.393483242,0.607958995
g10162,g10162,1.622460996,4.214989903,2.785306771,2.626756668,3.118450597,2.843626555,1.383179273,1.941998461,1.888380494,1.627085366,3.314928702,3.758306566
g10163,MS4A4A,4.031815647,2.265453307,2.902953978,4.125446476,3.628888338,4.133127826,4.094182878,4.169295429,3.396682873,4.512198784,3.71782853,4.541924732
g10164,MS4A4A,9.192556239,9.713556867,8.934731631,7.991606326,8.136495324,8.271774323,9.690045301,8.708566927,8.462656188,9.60166565,8.471270425,9.770151923
