Gene,SYMBOL,logFC,AveExpr,t,P.Value,adj.P.Val,B
g4190,RNF19B,0.336873268,6.926208891,1.890517598,0.081250961,0.54492363,-4.58916046
g4191,g4191,0.473914113,5.146612883,2.243004905,0.043012643,0.469809712,-3.951289747
g4192,g4192,0.212528625,4.862017747,0.689116063,0.502898719,0.862870928,-5.85072751
g4193,g4193,0.573282547,3.380032966,2.317352992,0.037484467,0.452599827,-3.611452285
g4194,acr-25,-0.175957293,1.643067911,-0.403830679,0.692919909,0.937140495,-5.203853906
g4195,g4195,0.695494561,3.260814718,2.069453618,0.059047696,0.511480356,-3.957013447
g4196,g4196,0.771203422,3.309501959,1.345651957,0.2014796,0.685167967,-4.898582287
g4197,col6a6,0.290704244,3.696535223,1.197362123,0.252602291,0.728961727,-5.180758577
g4198,COL6A2,0.06689078,3.661645082,0.286749703,0.778835865,0.960001069,-5.788464459
g4200,g4200,0.048247088,5.438957471,0.276136994,0.786796108,0.961850353,-6.11226969
g4201,ENO4,-0.120237884,4.899837216,-0.245374442,0.81000831,0.96589512,-6.056495217
g4202,KCNIP3,0.16390202,3.521111316,0.791512389,0.442887507,0.838252062,-5.491624961
g4203,g4203,0.001730069,1.921215422,0.001871794,0.998535024,0.999776122,-5.319073568
g4204,g4204,-0.949667047,1.378416176,-1.133895609,0.277372724,0.743260862,-4.754978891
g4205,g4205,-0.233010977,7.117656498,-0.9949177,0.337985657,0.788395578,-5.718348185
g4206,pcp-5/PRCP,0.228521735,6.32410457,0.778000116,0.450535945,0.841009974,-5.902359899
g4207,g4207,-0.466401704,6.980386842,-2.805667656,0.014901456,0.348543842,-3.064442371
